Company Name,Rating,Reviews Count,Website,Phone,Address,Main Category,Price Range,Cuisine Types,Closed Status,Opening Hours,Maps URL,Place ID,Website Email,Facebook,Instagram,Twitter,LinkedIn
,,,,,,,,,,,https://www.google.com/maps/place/Little+Collins/data=!4m7!3m6!1s0x89c259af84f24db9:0xb6a8d79d323b5b56!8m2!3d40.7523639!4d-73.9735114!16s%2Fg%2F11b61qq0km!19sChIJuU3yhK9ZwokRVls7Mp3XqLY?authuser=0&hl=en&rclk=1,Little+Collins,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Lazy+Point/data=!4m7!3m6!1s0x89c259f311bfb4a5:0x5d3aa4a5fa97d7c5!8m2!3d40.725767!4d-74.008609!16s%2Fg%2F11b707tk3j!19sChIJpbS_EfNZwokRxdeX-qWkOl0?authuser=0&hl=en&rclk=1,Lazy+Point,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Stumptown+Coffee+Roasters/data=!4m7!3m6!1s0x89c259a61c75684f:0x79d31adb123348d2!8m2!3d40.7457399!4d-73.9882272!16s%2Fg%2F1hhw712x0!19sChIJT2h1HKZZwokR0kgzEtsa03k?authuser=0&hl=en&rclk=1,Stumptown+Coffee+Roasters,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Coffee+Project+New+York+%7C+East+Village/data=!4m7!3m6!1s0x89c2599b5a24d7fd:0x9e354f6cf514b9fc!8m2!3d40.7270884!4d-73.989382!16s%2Fg%2F11c3svpqld!19sChIJ_dckWptZwokR_LkU9WxPNZ4?authuser=0&hl=en&rclk=1,Coffee+Project+New+York+%7C+East+Village,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Haswell+Green%27s/data=!4m7!3m6!1s0x89c259ca8c1b910f:0x7b7628ec26d1b366!8m2!3d40.762969!4d-73.98422!16s%2Fg%2F11ghnp_mjn!19sChIJD5EbjMpZwokRZrPRJuwodns?authuser=0&hl=en&rclk=1,Haswell+Green%27s,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/1803+NYC/data=!4m7!3m6!1s0x89c25a1f689722d3:0x16683d41746a61e9!8m2!3d40.7154539!4d-74.0073301!16s%2Fg%2F11d_tqq6n7!19sChIJ0yKXaB9awokR6WFqdEE9aBY?authuser=0&hl=en&rclk=1,1803+NYC,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Upland/data=!4m7!3m6!1s0x89c259a715fb5059:0xe5543b76e952fab3!8m2!3d40.7419313!4d-73.984644!16s%2Fg%2F11btmqg_59!19sChIJWVD7FadZwokRs_pS6XY7VOU?authuser=0&hl=en&rclk=1,Upland,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/As+Is+NYC/data=!4m7!3m6!1s0x89c25850f5fdd737:0x22644ba9a31eea9c!8m2!3d40.7647168!4d-73.9915618!16s%2Fg%2F11ckkwmhf_!19sChIJN9f99VBYwokRnOoeo6lLZCI?authuser=0&hl=en&rclk=1,As+Is+NYC,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Dear+Irving+on+Hudson+Rooftop+Bar/data=!4m7!3m6!1s0x89c2595d7439239b:0xe24033109954d90f!8m2!3d40.7561626!4d-73.991717!16s%2Fg%2F11fj8d63_q!19sChIJmyM5dF1ZwokRD9lUmRAzQOI?authuser=0&hl=en&rclk=1,Dear+Irving+on+Hudson+Rooftop+Bar,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Buena+Vista+Restaurant+%26+Bar/data=!4m7!3m6!1s0x89c25852b433ffff:0x4bde1e9afa756c9b!8m2!3d40.756837!4d-73.993494!16s%2Fg%2F11fflztctz!19sChIJ__8ztFJYwokRm2x1-poe3ks?authuser=0&hl=en&rclk=1,Buena+Vista+Restaurant+%26+Bar,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Junoon/data=!4m7!3m6!1s0x89c259a4412c8c0f:0x876077414e308b40!8m2!3d40.7430703!4d-73.9903968!16s%2Fg%2F1tfbtsz_!19sChIJD4wsQaRZwokRQIswTkF3YIc?authuser=0&hl=en&rclk=1,Junoon,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Caf%C3%A9+Integral/data=!4m7!3m6!1s0x89c259889b2eaaab:0x66784a0bd9b66d7c!8m2!3d40.7203698!4d-73.9952115!16s%2Fg%2F11cr_5lhbb!19sChIJq6oum4hZwokRfG222QtKeGY?authuser=0&hl=en&rclk=1,Caf%C3%A9+Integral,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/The+Dead+Rabbit/data=!4m7!3m6!1s0x89c25a1469891821:0xea6b2acef790acd8!8m2!3d40.7032685!4d-74.0110218!16s%2Fg%2F1hhgq2mj1!19sChIJIRiJaRRawokR2KyQ984qa-o?authuser=0&hl=en&rclk=1,The+Dead+Rabbit,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Julius%27/data=!4m7!3m6!1s0x89c259304bb04227:0x35b685b6a9301164!8m2!3d40.7345416!4d-74.0015246!16s%2Fm%2F04crvx9!19sChIJJ0KwSzBZwokRZBEwqbaFtjU?authuser=0&hl=en&rclk=1,Julius%27,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/787+Coffee/data=!4m7!3m6!1s0x89c25bb26cc76c9f:0xa38e11c309a5d41e!8m2!3d40.7034852!4d-74.0108313!16s%2Fg%2F11j4jswld2!19sChIJn2zHbLJbwokRHtSlCcMRjqM?authuser=0&hl=en&rclk=1,787+Coffee,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Lucid+Cafe/data=!4m7!3m6!1s0x89c25906a539567f:0xb2eba6cfb1c112f9!8m2!3d40.7487442!4d-73.9778073!16s%2Fg%2F11cly979k3!19sChIJf1Y5pQZZwokR-RLBsc-m67I?authuser=0&hl=en&rclk=1,Lucid+Cafe,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Piccola+Cucina+Estiatorio/data=!4m7!3m6!1s0x89c2598c5dde0695:0x139bb13faae3a89c!8m2!3d40.7246842!4d-74.0031818!16s%2Fg%2F11g6vgbm5y!19sChIJlQbeXYxZwokRnKjjqj-xmxM?authuser=0&hl=en&rclk=1,Piccola+Cucina+Estiatorio,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Bemelmans+Bar/data=!4m7!3m6!1s0x89c25894f6830e11:0xa96f889c0194ea4b!8m2!3d40.7744215!4d-73.963171!16s%2Fg%2F1tsjfkbp!19sChIJEQ6D9pRYwokRS-qUAZyIb6k?authuser=0&hl=en&rclk=1,Bemelmans+Bar,,,,,
